time_step,rmse,mae,mape,r2,smape,nrmse,fb,rules,time_cost,mem_cost,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std,fb_std,rules_std,time_cost_std,mem_cost_std
PM2.5(t+1),5.039,7.603,10.466,0.848,3.777,0.022,0.041,1962.7,70.714,2.278,2.19,11.984,13.277,0.268,3.265,0.013,0.124,303.312,48.33,1.173
PM10(t+1),8.353,9.879,9.698,0.855,3.905,0.026,0.024,2166.733,70.714,2.278,3.437,13.772,7.959,0.255,2.509,0.015,0.099,358.475,48.33,1.173
SO2(t+1),1.353,1.047,10.33,0.907,4.213,0.028,-0.011,2129.6,70.714,2.278,1.035,1.26,6.21,0.175,2.057,0.018,0.065,272.04,48.33,1.173
NO2(t+1),4.077,2.3,4.624,0.953,2.131,0.03,0.001,2443.267,70.714,2.278,1.403,2.229,2.232,0.097,0.973,0.01,0.023,282.936,48.33,1.173
CO(t+1),85.753,69.739,7.059,0.893,2.683,0.028,0.012,2088.6,70.714,2.278,47.484,89.525,8.19,0.176,1.829,0.016,0.063,292.741,48.33,1.173
O3(t+1),5.256,50.738,40.158,0.899,7.215,0.032,0.052,2205.067,70.714,2.278,3.034,258.882,61.38,0.214,6.182,0.015,0.35,302.78,48.33,1.173
TEMP(t+1),84.712,149.778,inf,-6112.458,9.253,4.609,-0.003,2301.567,70.714,2.278,299.37,597.316,,27853.224,19.515,18.321,0.796,461.826,48.33,1.173
PRES(t+1),407.077,257.122,25.231,-63977.753,1.467,11.828,-0.053,1193.867,70.714,2.278,2219.303,1401.213,137.494,350424.133,7.686,64.13,0.288,157.167,48.33,1.173
DEWP(t+1),0.372,0.95,inf,0.777,1.938,0.02,-4.738,2287.067,70.714,2.278,0.159,1.951,,0.393,2.883,0.011,25.652,277.445,48.33,1.173
RAIN(t+1),0.096,0.044,,-2.503,,0.071,,1412.967,70.714,2.278,0.113,0.064,,10.964,,0.14,,3156.76,48.33,1.173
WSPM(t+1),0.257,0.145,inf,0.896,7.508,0.05,-0.022,2620.4,70.714,2.278,0.057,0.045,,0.088,5.73,0.017,0.028,276.533,48.33,1.173
PM2.5.1(t+1),5.36,5.489,12.777,0.894,4.561,0.026,0.021,2039.2,70.714,2.278,2.744,8.691,11.896,0.209,3.438,0.016,0.108,271.699,48.33,1.173
PM10.1(t+1),8.139,7.388,10.486,0.872,4.229,0.03,0.01,2195.3,70.714,2.278,2.801,9.271,8.42,0.214,2.761,0.025,0.089,387.513,48.33,1.173
